2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [system] Generated: sec_011    Lesson : 8 Animal Life > Highlights of t VO=3 Steps=4 Storyboard=4
2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [system] Generated: sec_012    Lesson : 8 Animal Life > Glossary        VO=3 Steps=4 Storyboard=4
2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [system] Generated: sec_013    Lesson : 8 Animal Life > Glossary > I. A VO=4 Steps=3 Storyboard=3
2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [system] Generated: sec_014    Lesson : 8 Animal Life > Glossary > I. A VO=4 Steps=3 Storyboard=3
2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [system] Generated: sec_015    Lesson : 8 Animal Life > Glossary > I. A VO=4 Steps=3 Storyboard=3
2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [system] Generated: sec_016    Lesson : 8 Animal Life > Glossary > I. A VO=4 Steps=3 Storyboard=3
2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [script] Generated 16 script scenes
2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [system] ═══ SCRIPT END ═══
2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [system] Saved 16 scenes to D:\new_video_pip\packages\textbook-pipeline\projects\evs_class1_output\phase2_script_scenes.json
2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [script] Script generation complete
2026-09-09T17:08:21 | INFO     | pipeline.evs_class1_output_phase2 | [11:38:21] ✓ [system] ═══ SCRIPT END ═══
